#%info
#%EC station description
#   Kapiti = "The Savanna site in Kenya"

#   author  = ""
#   contact = ""
#   date    = "2021-05-10"
#   comments = ""
#
#%abbreviations
#   NEE = "Co2 flux"
#   H2O = "H2O flux"
#   LE = "Latent heat flux"
#   H = "sensible heat flux"
#   ET = "Evapotranspiration"
#   LAI = "LAI"
#%units
#   NEE = "micromolm-2s-1"
#   H2O = "mmol+1s-1m-2"
#   LE = "W+1m-2"
#   H = "W+1m-2"
#   ET = "mm+1hour-1"
#   LAI = "m2 m-2"
#

#%data
datetime	nee	h2o	LE	H	ET LAI
2019-04-21	1.729695999	0.90083633	41.60314266	43.64039961	0.061735539	-99.99
2019-04-22	1.928680717	1.014513032	48.12574345	41.46545259	0.071262625	-99.99
2019-04-23	2.188706043	1.220098246	57.20631971	38.36928057	0.084623849	0.3
2019-04-24	2.399636709	1.423156587	66.16214692	35.8337117	0.097782024	-99.99
2019-04-25	2.556032837	1.602907074	74.09209149	33.57988983	0.109429863	-99.99
2019-04-26	2.472518109	1.76932142	81.44258602	31.50926952	0.120243091	-99.99
2019-04-27	2.18796913	1.855419725	85.22565287	31.00024194	0.125822259	0.4
2019-04-28	1.86287482	1.863183827	85.77334576	31.72087264	0.126643276	-99.99
2019-04-29	1.234761224	1.766616511	80.46590944	31.92623377	0.118827871	-99.99
2019-04-30	0.618379545	1.755226328	79.95875462	34.10273656	0.118089791	-99.99
2019-05-01	0.116501084	1.734178993	78.14622675	33.86407547	0.114901347	0.3
2019-05-02	-0.388744359	1.639013695	72.24911638	36.15797353	0.106237666	-99.99
2019-05-03	-0.755868463	1.529857079	67.44824397	37.5324737	0.099164323	-99.99
2019-05-04	-1.105808753	1.404168284	61.90713082	37.51514586	0.091019693	-99.99
2019-05-05	-1.436110984	1.297013787	57.17990776	37.44629294	0.08407607	0.7
2019-05-06	-1.480723479	1.192711416	52.57214647	38.1795837	0.077287693	-99.99
2019-05-07	-1.431693356	1.108838772	48.89437896	38.62397734	0.071852749	-99.99
2019-05-08	-1.457994595	1.046926951	46.16748984	40.19732778	0.067840861	-99.99
2019-05-09	-1.402216756	1.012799833	44.65992681	41.37137857	0.065629431	0.3
2019-05-10	-1.423530183	0.975007346	42.99043521	43.12220739	0.063180475	-99.99
2019-05-11	-1.334566499	0.85412374	37.65871262	44.02613776	0.055347205	-99.99
2019-05-12	-1.267742192	0.79662829	35.12543487	43.78593468	0.051621498	-99.99
2019-05-13	-1.124827218	0.856367053	37.91407217	41.86070521	0.055690109	0.3
2019-05-14	-0.916112709	0.885441006	39.21476357	40.145746	0.057574098	-99.99
2019-05-15	-0.787118197	0.893910181	39.59681852	40.08313768	0.058122912	-99.99
2019-05-16	-0.717526624	0.891596919	39.49507773	38.9961852	0.057973018	-99.99
2019-05-17	-0.683027052	0.845498783	37.45859458	38.1090533	0.054985856	0.2
2019-05-18	-0.556290951	0.906912366	40.09899499	36.4126506	0.058851075	-99.99
2019-05-19	-0.486931264	0.988721094	43.71936653	36.28082534	0.06415228	-99.99
2019-05-20	-0.382898984	1.00703726	44.54458363	33.58304918	0.065339173	-99.99
