%global
       time = "2008-01-01/1"

%climate
        id = 0

%attributes
        elevation = "719"
        latitude = "47.48"
        longitude = "11.06"

%data
prec	tavg	tmax	tmin	grad	wind
0	17.2125	25.1	7.6	244.678907	2.1
0	16.5125	22.2	8.9	188.5637225	2.4
2.6	13.0875	18.5	5.8	184.9991169	2
26.2	16.05416667	23.3	11.9	246.517809	1.5
0.9	15.06666667	22.8	9.6	181.8051334	1.1
0	13.82083333	20.8	7.1	354.5560887	2.5
0	12.7	20.2	4.4	360.4668455	2.8
0	13.09166667	19.9	4.1	248.373198	2.4
1.2	13.25416667	18	9.3	137.1816157	1.2
17.8	13.48333333	20.1	8.1	193.8982524	1.5
2.2	14.97083333	21.9	7.7	200.8714079	1.2
2.9	15.925	21.4	10	258.7616971	1.6
9.9	13.45416667	16.2	11.7	100.353917	1.1
0.6	15.79166667	21.7	11.2	310.5689609	1.7
6.8	16.38333333	23.8	9.9	196.2281568	1.9
23.3	11.44583333	15	9.2	120.2856245	1.2
4.7	10.1625	14.4	6.3	314.89021	2.4
